...Logging started...
0.049368: Server Started
6.4493031: RespondedAwaitingApproval 4652121762545616561 127.0.0.1
6.4533208: RespondedConnect 4652121762545616561 127.0.0.1
6.4570765: Connected 4652121762545616561 127.0.0.1
6.4604543: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: StartVoIP( 1 )

6.4612737: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetPlayerId( 0 )

6.4668955: AreaChange 4652121762545616561 127.0.0.1
6.4690981: RPC ServerOnly NetSyncId: -1 Function: DoNukeEffect(  )

6.4737331: Instantiate 4652121762545616561 127.0.0.1
	NetworkId: 1
	Prefab: PlayerCharacter
	Loc: 0, 0, 0
	Orientation: 0, 0, 0, 1
16.2318061: SyncUpdate 4652121762545616561 127.0.0.1
16.3327113: SyncUpdate 4652121762545616561 127.0.0.1
16.433014: SyncUpdate 4652121762545616561 127.0.0.1
16.5336547: SyncUpdate 4652121762545616561 127.0.0.1
16.6355321: SyncUpdate 4652121762545616561 127.0.0.1
16.7357311: SyncUpdate 4652121762545616561 127.0.0.1
16.8339435: SyncUpdate 4652121762545616561 127.0.0.1
16.9360054: SyncUpdate 4652121762545616561 127.0.0.1
17.037364: SyncUpdate 4652121762545616561 127.0.0.1
17.1345968: SyncUpdate 4652121762545616561 127.0.0.1
17.2364341: SyncUpdate 4652121762545616561 127.0.0.1
17.3374726: SyncUpdate 4652121762545616561 127.0.0.1
17.4373148: SyncUpdate 4652121762545616561 127.0.0.1
17.5394014: SyncUpdate 4652121762545616561 127.0.0.1
17.6384219: SyncUpdate 4652121762545616561 127.0.0.1
17.7382976: SyncUpdate 4652121762545616561 127.0.0.1
17.8379236: SyncUpdate 4652121762545616561 127.0.0.1
17.9405637: SyncUpdate 4652121762545616561 127.0.0.1
18.0407786: SyncUpdate 4652121762545616561 127.0.0.1
18.1414939: SyncUpdate 4652121762545616561 127.0.0.1
18.2415039: SyncUpdate 4652121762545616561 127.0.0.1
18.3428909: SyncUpdate 4652121762545616561 127.0.0.1
18.4438394: SyncUpdate 4652121762545616561 127.0.0.1
18.5439611: SyncUpdate 4652121762545616561 127.0.0.1
18.6442588: SyncUpdate 4652121762545616561 127.0.0.1
18.7441843: SyncUpdate 4652121762545616561 127.0.0.1
18.8452902: SyncUpdate 4652121762545616561 127.0.0.1
18.9459154: SyncUpdate 4652121762545616561 127.0.0.1
19.0457692: SyncUpdate 4652121762545616561 127.0.0.1
19.1458427: SyncUpdate 4652121762545616561 127.0.0.1
19.2462585: SyncUpdate 4652121762545616561 127.0.0.1
19.3472544: SyncUpdate 4652121762545616561 127.0.0.1
19.4503071: SyncUpdate 4652121762545616561 127.0.0.1
19.5484777: SyncUpdate 4652121762545616561 127.0.0.1
19.648811: SyncUpdate 4652121762545616561 127.0.0.1
19.7490929: SyncUpdate 4652121762545616561 127.0.0.1
19.848629: SyncUpdate 4652121762545616561 127.0.0.1
19.9502811: SyncUpdate 4652121762545616561 127.0.0.1
20.0515275: SyncUpdate 4652121762545616561 127.0.0.1
20.1522871: SyncUpdate 4652121762545616561 127.0.0.1
20.2516002: SyncUpdate 4652121762545616561 127.0.0.1
20.3527669: SyncUpdate 4652121762545616561 127.0.0.1
20.4534014: SyncUpdate 4652121762545616561 127.0.0.1
20.5556713: SyncUpdate 4652121762545616561 127.0.0.1
20.6541634: SyncUpdate 4652121762545616561 127.0.0.1
20.7553943: SyncUpdate 4652121762545616561 127.0.0.1
20.856626: SyncUpdate 4652121762545616561 127.0.0.1
20.9566474: SyncUpdate 4652121762545616561 127.0.0.1
21.0577594: SyncUpdate 4652121762545616561 127.0.0.1
21.1604934: SyncUpdate 4652121762545616561 127.0.0.1
21.2590343: SyncUpdate 4652121762545616561 127.0.0.1
21.3595535: SyncUpdate 4652121762545616561 127.0.0.1
21.461031: SyncUpdate 4652121762545616561 127.0.0.1
21.5606519: SyncUpdate 4652121762545616561 127.0.0.1
21.6609721: SyncUpdate 4652121762545616561 127.0.0.1
21.7613774: SyncUpdate 4652121762545616561 127.0.0.1
21.8621687: SyncUpdate 4652121762545616561 127.0.0.1
21.9624673: SyncUpdate 4652121762545616561 127.0.0.1
22.0647776: SyncUpdate 4652121762545616561 127.0.0.1
22.1650156: SyncUpdate 4652121762545616561 127.0.0.1
22.2655662: SyncUpdate 4652121762545616561 127.0.0.1
22.3669449: SyncUpdate 4652121762545616561 127.0.0.1
22.4685928: SyncUpdate 4652121762545616561 127.0.0.1
22.5725841: SyncUpdate 4652121762545616561 127.0.0.1
22.6692695: SyncUpdate 4652121762545616561 127.0.0.1
22.769394: SyncUpdate 4652121762545616561 127.0.0.1
22.8704943: SyncUpdate 4652121762545616561 127.0.0.1
22.9699191: SyncUpdate 4652121762545616561 127.0.0.1
23.0697241: SyncUpdate 4652121762545616561 127.0.0.1
23.1703912: SyncUpdate 4652121762545616561 127.0.0.1
23.2708513: SyncUpdate 4652121762545616561 127.0.0.1
23.3727767: SyncUpdate 4652121762545616561 127.0.0.1
23.4763112: SyncUpdate 4652121762545616561 127.0.0.1
23.5742136: SyncUpdate 4652121762545616561 127.0.0.1
23.6759444: SyncUpdate 4652121762545616561 127.0.0.1
23.7783141: SyncUpdate 4652121762545616561 127.0.0.1
23.875949: SyncUpdate 4652121762545616561 127.0.0.1
23.9760265: SyncUpdate 4652121762545616561 127.0.0.1
24.0776745: SyncUpdate 4652121762545616561 127.0.0.1
24.1783201: SyncUpdate 4652121762545616561 127.0.0.1
24.2785399: SyncUpdate 4652121762545616561 127.0.0.1
24.3789698: SyncUpdate 4652121762545616561 127.0.0.1
24.4796989: SyncUpdate 4652121762545616561 127.0.0.1
24.5811938: SyncUpdate 4652121762545616561 127.0.0.1
24.6802347: SyncUpdate 4652121762545616561 127.0.0.1
24.7823381: SyncUpdate 4652121762545616561 127.0.0.1
24.8817588: SyncUpdate 4652121762545616561 127.0.0.1
24.9827537: SyncUpdate 4652121762545616561 127.0.0.1
25.0825591: SyncUpdate 4652121762545616561 127.0.0.1
25.1846667: SyncUpdate 4652121762545616561 127.0.0.1
25.28447: SyncUpdate 4652121762545616561 127.0.0.1
25.3857812: SyncUpdate 4652121762545616561 127.0.0.1
25.4861238: SyncUpdate 4652121762545616561 127.0.0.1
25.5861668: SyncUpdate 4652121762545616561 127.0.0.1
25.6857673: SyncUpdate 4652121762545616561 127.0.0.1
25.7872271: SyncUpdate 4652121762545616561 127.0.0.1
25.887896: SyncUpdate 4652121762545616561 127.0.0.1
25.9893826: SyncUpdate 4652121762545616561 127.0.0.1
26.0891243: SyncUpdate 4652121762545616561 127.0.0.1
26.1900969: SyncUpdate 4652121762545616561 127.0.0.1
26.2898225: SyncUpdate 4652121762545616561 127.0.0.1
