...Logging started...
0.0405298: Server Started
9.2920835: RespondedAwaitingApproval 371932531141727072 127.0.0.1
9.3492657: RespondedConnect 371932531141727072 127.0.0.1
9.4522629: Connected 371932531141727072 127.0.0.1
9.4865415: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: StartVoIP( 1 )

9.5005579: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetPlayerId( 0 )

9.5941326: AreaChange 371932531141727072 127.0.0.1
9.694951: Instantiate 371932531141727072 127.0.0.1
	NetworkId: 1
	Prefab: Player
	Loc: -14.46048, 0.5, 14.54582
	Orientation: 0, 1, 0, 0
9.7371565: RPC ServerOnly NetSyncId: -1 Function: PlayerGameObjectSpawned( 0, 1 )

9.7549527: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: 1 Function: SetMovementSpeed( 150 )

9.7603303: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetFieldOfView( 10 )

22.9210545: SyncUpdate 371932531141727072 127.0.0.1
23.0349678: SyncUpdate 371932531141727072 127.0.0.1
23.1573626: SyncUpdate 371932531141727072 127.0.0.1
23.2712075: SyncUpdate 371932531141727072 127.0.0.1
23.6671175: SyncUpdate 371932531141727072 127.0.0.1
23.6756204: SyncUpdate 371932531141727072 127.0.0.1
23.7715949: SyncUpdate 371932531141727072 127.0.0.1
23.8710328: SyncUpdate 371932531141727072 127.0.0.1
23.9291929: SyncUpdate 371932531141727072 127.0.0.1
24.0060329: SyncUpdate 371932531141727072 127.0.0.1
24.149621: SyncUpdate 371932531141727072 127.0.0.1
24.2717754: SyncUpdate 371932531141727072 127.0.0.1
24.3654852: SyncUpdate 371932531141727072 127.0.0.1
24.4490976: SyncUpdate 371932531141727072 127.0.0.1
24.5579739: SyncUpdate 371932531141727072 127.0.0.1
24.6575918: SyncUpdate 371932531141727072 127.0.0.1
24.7626347: SyncUpdate 371932531141727072 127.0.0.1
24.8964909: SyncUpdate 371932531141727072 127.0.0.1
24.9858829: SyncUpdate 371932531141727072 127.0.0.1
25.088354: SyncUpdate 371932531141727072 127.0.0.1
25.4311389: SyncUpdate 371932531141727072 127.0.0.1
25.4383941: SyncUpdate 371932531141727072 127.0.0.1
25.5162534: SyncUpdate 371932531141727072 127.0.0.1
25.5751241: SyncUpdate 371932531141727072 127.0.0.1
25.7303781: SyncUpdate 371932531141727072 127.0.0.1
25.9117203: SyncUpdate 371932531141727072 127.0.0.1
26.3612587: SyncUpdate 371932531141727072 127.0.0.1
26.3682435: SyncUpdate 371932531141727072 127.0.0.1
26.3739958: SyncUpdate 371932531141727072 127.0.0.1
26.3800738: SyncUpdate 371932531141727072 127.0.0.1
26.4817578: SyncUpdate 371932531141727072 127.0.0.1
26.5239512: SyncUpdate 371932531141727072 127.0.0.1
26.684616: SyncUpdate 371932531141727072 127.0.0.1
26.7327386: SyncUpdate 371932531141727072 127.0.0.1
26.8190039: SyncUpdate 371932531141727072 127.0.0.1
26.9405229: SyncUpdate 371932531141727072 127.0.0.1
27.042661: SyncUpdate 371932531141727072 127.0.0.1
27.1664779: SyncUpdate 371932531141727072 127.0.0.1
27.2623184: SyncUpdate 371932531141727072 127.0.0.1
27.4044109: SyncUpdate 371932531141727072 127.0.0.1
27.4850256: SyncUpdate 371932531141727072 127.0.0.1
27.6687028: SyncUpdate 371932531141727072 127.0.0.1
27.7791699: SyncUpdate 371932531141727072 127.0.0.1
27.8065895: SyncUpdate 371932531141727072 127.0.0.1
28.2055764: SyncUpdate 371932531141727072 127.0.0.1
28.5561992: SyncUpdate 371932531141727072 127.0.0.1
28.6127992: SyncUpdate 371932531141727072 127.0.0.1
28.6839397: SyncUpdate 371932531141727072 127.0.0.1
28.8071119: SyncUpdate 371932531141727072 127.0.0.1
28.9266475: SyncUpdate 371932531141727072 127.0.0.1
29.0199645: SyncUpdate 371932531141727072 127.0.0.1
29.1490543: SyncUpdate 371932531141727072 127.0.0.1
29.2577121: SyncUpdate 371932531141727072 127.0.0.1
29.3847874: SyncUpdate 371932531141727072 127.0.0.1
29.4727687: SyncUpdate 371932531141727072 127.0.0.1
29.6637619: SyncUpdate 371932531141727072 127.0.0.1
29.8472614: SyncUpdate 371932531141727072 127.0.0.1
29.9055532: SyncUpdate 371932531141727072 127.0.0.1
29.9139788: SyncUpdate 371932531141727072 127.0.0.1
30.0204353: SyncUpdate 371932531141727072 127.0.0.1
30.1190499: SyncUpdate 371932531141727072 127.0.0.1
30.2754614: SyncUpdate 371932531141727072 127.0.0.1
30.381654: SyncUpdate 371932531141727072 127.0.0.1
30.4672072: SyncUpdate 371932531141727072 127.0.0.1
30.5700135: SyncUpdate 371932531141727072 127.0.0.1
30.7375363: SyncUpdate 371932531141727072 127.0.0.1
30.828495: SyncUpdate 371932531141727072 127.0.0.1
30.9011773: SyncUpdate 371932531141727072 127.0.0.1
31.01128: SyncUpdate 371932531141727072 127.0.0.1
31.1921559: SyncUpdate 371932531141727072 127.0.0.1
31.2601769: SyncUpdate 371932531141727072 127.0.0.1
31.3792742: SyncUpdate 371932531141727072 127.0.0.1
31.4853793: SyncUpdate 371932531141727072 127.0.0.1
31.5913456: SyncUpdate 371932531141727072 127.0.0.1
31.6846485: SyncUpdate 371932531141727072 127.0.0.1
31.8003125: SyncUpdate 371932531141727072 127.0.0.1
31.933752: SyncUpdate 371932531141727072 127.0.0.1
32.0233346: SyncUpdate 371932531141727072 127.0.0.1
